recurrence_order,tap_value,reflected_value,matrix_order,global_antiperiod_h,gcd_matrix_with_order,gcd_matrix_with_value,gcd_matrix_with_order_plus_value,v2_matrix_order,k_divides_matrix_order,v_divides_matrix_order,k_plus_v_divides_matrix_order
98,5,93,1590671360283359511069543999704208694128251048,,2,1,1,3,False,False,False
98,6,92,1345292657106436324,,2,2,52,2,False,False,False
98,7,91,33480776,16740388,14,7,7,3,False,True,False
98,8,90,10936875178826271584,,14,8,2,5,False,True,False
98,9,89,4786741481365369991385259228852316117214880,,2,1,1,5,False,False,False
98,10,88,119649589567991115498320,,14,10,4,4,False,True,False
98,11,87,132549209071347775752283185359969725801181120,,2,11,1,6,False,True,False
98,12,86,4431467790164343433648,,2,4,22,4,False,False,False
98,13,85,12725370871323082538109218760922756592316406184,,2,1,1,3,False,False,False
98,14,84,13552,,14,14,112,4,False,True,True
98,15,83,1510532332199900826770227071886809674449496,,14,1,1,3,False,False,False
98,16,82,14633979109533395040,,2,16,6,5,False,True,False
98,17,81,1001679670411269873525708984550161085840,,2,1,5,4,False,False,False
98,18,80,20920706404,,2,2,4,2,False,False,False
98,19,79,9063653842890960278400368681323224517596728,,14,1,13,3,False,False,False
98,20,78,79438186109477972785492,,2,4,2,2,False,False,False
98,21,77,1860040,930020,98,7,7,3,True,False,False
98,22,76,238314558328433918356960,,2,22,40,5,False,True,False
98,23,75,11972515182562019788602740026717047105680,,98,1,1,4,True,False,False
98,24,74,5908625413101667397284,,2,4,2,2,False,False,False
98,25,73,78551672112789411833022577315290546060373040,,2,5,1,4,False,False,False
98,26,72,244153940083118565280,,2,2,4,5,False,False,False
98,27,71,302536794884593586846591138694833966566816,,98,1,1,5,True,False,False
98,28,70,4368,,14,28,42,4,False,True,False
98,29,69,566363288707116054543108938530452372500840,,2,1,1,3,False,False,False
98,30,68,26260557391562966210080,,2,10,32,5,False,False,False
98,31,67,893525270254506165731333693746464973135463768,446762635127253082865666846873232486567731884,14,1,1,3,False,False,False
98,32,66,972613236724554304,,2,32,2,6,False,True,False
98,33,65,981895901409867118023303776215425144713600,,14,11,1,7,False,False,False
98,34,64,20050876988730074240,,2,2,4,7,False,False,False
98,35,63,16120286,,14,7,7,1,False,False,False
98,36,62,79438186109477972785492,,2,4,2,2,False,False,False
98,37,61,13469076764332329144781281050038193049440,,14,37,5,5,False,True,False
98,38,60,442539022709672208320,,14,2,8,6,False,False,False
98,39,59,3579010560638967552797064649109430113379065560,1789505280319483776398532324554715056689532780,14,13,1,3,False,False,False
98,40,58,4985318246914873539672,,14,8,6,3,False,False,False
